month,category,opened,closed,open_at_month_end,avg_days_to_close,note
2026-01,Plumbing,23,20,3,2.1,
2026-01,Electrical,11,5,6,1.6,
2026-01,Other,3,0,3,,
2026-01,Common area,2,0,2,,
2026-01,Clubhouse,1,0,1,,
2026-02,Plumbing,17,16,4,6.1,
2026-02,Electrical,6,10,2,17.1,
2026-02,Other,3,3,3,3.2,
2026-02,Common area,0,1,1,41.0,
2026-02,Builder snags,1,0,1,,
2026-02,Clubhouse,1,0,2,,
2026-03,Plumbing,21,20,5,5.3,
2026-03,Electrical,7,7,2,5.5,
2026-03,Other,1,3,1,42.4,
2026-03,Housekeeping,2,2,0,2.3,
2026-03,Common area,1,2,0,35.5,
2026-03,Car parking,1,1,0,1.2,
2026-03,Builder snags,2,2,1,0.1,
2026-03,Clubhouse,1,2,1,9.6,
2026-03,Security,1,1,0,1.0,
2026-04,Plumbing,13,15,3,10.3,
2026-04,Electrical,10,9,3,11.2,
2026-04,Other,2,0,3,,
2026-04,Housekeeping,3,2,1,4.0,
2026-04,Common area,3,2,1,4.1,
2026-04,Car parking,1,0,1,,
2026-04,Builder snags,0,0,1,,
2026-04,Clubhouse,0,0,1,,
2026-04,Security,1,0,1,,
2026-05,Plumbing,24,21,6,1.8,
2026-05,Electrical,5,7,1,4.0,
2026-05,Other,4,4,3,9.4,
2026-05,Housekeeping,1,1,1,25.9,
2026-05,Common area,2,2,1,25.9,
2026-05,Car parking,2,2,1,9.3,
2026-05,Builder snags,0,0,1,,
2026-05,Clubhouse,0,0,1,,
2026-05,Security,1,1,1,1.6,
2026-06,Plumbing,21,22,5,12.6,
2026-06,Electrical,12,12,1,2.4,
2026-06,Other,0,3,0,57.0,
2026-06,Housekeeping,3,4,0,3.4,
2026-06,Common area,1,1,1,26.6,
2026-06,Car parking,0,1,0,4.8,
2026-06,Builder snags,1,1,1,8.1,
2026-06,Clubhouse,0,1,0,135.1,
2026-06,Security,0,1,0,53.5,
2026-07,Plumbing,23,20,8,2.7,
2026-07,Electrical,15,15,1,8.7,
2026-07,Other,2,1,1,2.8,
2026-07,Housekeeping,3,2,1,6.0,
2026-07,Common area,1,0,2,,
2026-07,Builder snags,0,0,1,,
2026-08,Plumbing,25,24,9,5.1,
2026-08,Electrical,12,8,5,5.7,
2026-08,Other,3,2,2,5.6,
2026-08,Housekeeping,3,1,3,1.0,
2026-08,Common area,2,1,3,4.1,
2026-08,Car parking,1,0,1,,
2026-08,Builder snags,1,0,2,,
2026-09,Plumbing,20,24,5,6.0,
2026-09,Electrical,4,7,2,8.0,
2026-09,Other,2,2,2,29.5,
2026-09,Housekeeping,1,1,3,1.2,
2026-09,Common area,2,0,5,,
2026-09,Car parking,0,0,1,,
2026-09,Builder snags,0,0,2,,
2026-09,Clubhouse,1,0,1,,
